dispersal_allowed,plate_id,pairwise_id,week,beta_diversity
no,CL,a85,3,0.072
no,CL,a86,3,0.046875
no,CL,a87,3,0.223140496
no,CL,a88,3,0.20661157
no,CL,a89,3,0.175572519
no,CL,a90,3,0.157024793
no,CL,a91,3,0.165354331
no,CL,a92,3,0.149253731
no,CL,a93,3,0.165354331
no,CL,a94,3,0.149253731
no,CL,a95,3,0.138461538
no,CL,a96,3,0.165354331
no,CL,a97,3,0.165354331
no,CL,a98,3,0.096296296
no,CL,a99,3,0.118110236
no,CL,a100,3,0.083969466
no,CL,a101,3,0.104477612
no,CL,a102,3,0.05511811
no,CL,a103,3,0.212598425
no,CL,a104,3,0.080291971
no,CL,a105,3,0.165354331
no,CL,a106,3,0.165354331
no,CL,a107,3,0.066666667
no,CL,a108,3,0.102362205
no,CL,a109,3,0.089430894
no,CL,a110,3,0.066666667
no,CL,a111,3,0.066666667
no,CL,a112,3,0.109375
no,CL,a113,3,0.183333333
no,CL,a114,3,0.14516129
no,CL,a115,3,0.165354331
no,CL,a116,3,0.183333333
no,CL,a117,3,0.116666667
no,CL,a118,3,0.138461538
no,CL,a119,3,0.066666667
no,CL,a120,3,0.102362205
no,CL,a121,3,0.149253731
no,CL,a122,3,0.076923077
no,CL,a123,3,0.102362205
no,CL,a124,3,0.102362205
no,CL,a125,3,0.096296296
no,CL,a126,3,0.102362205
no,CL,a127,3,0.06870229
no,CL,a128,3,0.089552239
no,CL,a129,3,0.212598425
no,CL,a130,3,0.102362205
no,CL,a131,3,0.124087591
no,CL,a132,3,0.102362205
no,CL,a133,3,0.102362205
no,CL,a134,3,0.089430894
no,CL,a135,3,0
no,CL,a136,3,0
no,CL,a137,3,0.109375
no,CL,a138,3,0.116666667
no,CL,a139,3,0.080645161
no,CL,a140,3,0.102362205
no,CL,a141,3,0.183333333
no,CL,a142,3,0.05
no,CL,a143,3,0.138461538
no,CL,a144,3,0
no,CL,a145,3,0.184615385
no,CL,a146,3,0.102362205
no,CL,a147,3,0.102362205
no,CL,a148,3,0.051851852
no,CL,a149,3,0.212598425
no,CL,a150,3,0.175572519
no,CL,a151,3,0.149253731
no,CL,a152,3,0.165354331
no,CL,a153,3,0.149606299
no,CL,a154,3,0.124087591
no,CL,a155,3,0.102362205
no,CL,a156,3,0.089430894
no,CL,a157,3,0.089430894
no,CL,a158,3,0.129770992
no,CL,a159,3,0.089430894
no,CL,a160,3,0.05511811
no,CL,a161,3,0.076923077
no,CL,a162,3,0.203252033
no,CL,a163,3,0.138211382
no,CL,a164,3,0.112781955
no,CL,a165,3,0.089430894
no,CL,a166,3,0
no,CL,a167,3,0.109375
no,CL,a168,3,0.116666667
no,CL,a169,3,0.080645161
no,CL,a170,3,0.102362205
no,CL,a171,3,0.183333333
no,CL,a172,3,0.05
no,CL,a173,3,0.138461538
no,CL,a174,3,0
no,CL,a175,3,0.109375
no,CL,a176,3,0.116666667
no,CL,a177,3,0.080645161
no,CL,a178,3,0.102362205
no,CL,a179,3,0.183333333
no,CL,a180,3,0.05
no,CL,a181,3,0.138461538
no,CL,a182,3,0
no,CL,a183,3,0.15625
no,CL,a184,3,0.121212121
no,CL,a185,3,0.140740741
no,CL,a186,3,0.109375
no,CL,a187,3,0.15625
no,CL,a188,3,0.072463768
no,CL,a189,3,0.109375
no,CL,a190,3,0.032258065
no,CL,a191,3,0.05511811
no,CL,a192,3,0.116666667
no,CL,a193,3,0.166666667
no,CL,a194,3,0.076923077
no,CL,a195,3,0.116666667
no,CL,a196,3,0.022900763
no,CL,a197,3,0.14516129
no,CL,a198,3,0.129032258
no,CL,a199,3,0.104477612
no,CL,a200,3,0.080645161
no,CL,a201,3,0.165354331
no,CL,a202,3,0.149606299
no,CL,a203,3,0.124087591
no,CL,a204,3,0.102362205
no,CL,a205,3,0.233333333
no,CL,a206,3,0.076923077
no,CL,a207,3,0.183333333
no,CL,a208,3,0.184615385
no,CL,a209,3,0.05
no,CL,a210,3,0.138461538
no,CL,a1,4,0.090909091
no,CL,a2,4,0.090909091
